be	was	been
jot	jotted	jotted
cleave	cleft	cleft
inset	inset	inset
nullify	nullified	nullified
forego	forewent	foregone
overdo	overdid	overdone
refuel	refueled	refueled
snip	snipped	snipped
stencil	stenciled	stenciled
bebop	bebopped	bebopped
gab	gabbed	gabbed
retrofit	retrofitted	retrofitted
swab	swabbed	swabbed
breastfeed	breastfed	breastfed
yip	yipped	yipped
zigzag	zigzagged	zigzagged
glut	glutted	glutted
terrify	terrified	terrified
allot	allotted	allotted
bushel	busheled	busheled
jib	jibbed	jibbed
minstrel	minstreled	minstreled
overhang	overhung	overhung
scab	scabbed	scabbed
dally	dallied	dallied
wham	whammed	whammed
magnify	magnified	magnified
hob	hobbed	hobbed
outcrop	outcropped	outcropped
billet	billeted	billeted
ricochet	ricocheted	ricocheted
rubric	rubricked	rubricked
understudy	understudied	understudied
wring	wrung	wrung
beseech	beseeched	beseeched
twit	twitted	twitted
exemplify	exemplified	exemplified
pacify	pacified	pacified
drivel	drivelled	drivelled
hypertrophy	hypertrophied	hypertrophied
outdo	outdid	outdone
refocus	refocused	refocused
befall	befell	befallen
ravel	raveled	raveled
slop	slopped	slopped
flog	flogged	flogged
lop	lopped	lopped
photocopy	photocopied	photocopied
splat	splatted	splatted
crucify	crucified	crucified
degas	degassed	degassed
rivet	riveted	riveted
spud	spudded	spudded
wiretap	wiretapped	wiretapped
frolic	frolicked	frolicked
inlay	inlaid	inlaid
snorkel	snorkeled	snorkeled
throb	throbbed	throbbed
underlie	underlay	underlain
anagram	anagrammed	anagrammed
enrol	enrolled	enrolled
outgrow	outgrew	outgrown
quip	quipped	quipped
refit	refit	refit
swot	swotted	swotted
underpin	underpinned	underpinned
bide	bode	bidden
fib	fibbed	fibbed
prophesy	prophesied	prophesied
remarry	remarried	remarried
overhear	overheard	overheard
recur	recurred	recurred
shimmy	shimmied	shimmied
tinsel	tinseled	tinseled
abhor	abhorred	abhorred
outbid	outbid	outbid
tut-tut	tut-tutted	tut-tutted
whet	whet	whet
bevel	beveled	beveled
hew	hew	hewn
indemnify	indemnified	indemnified
plop	plopped	plopped
swig	swigged	swigged
backstop	backstopped	backstopped
decry	decried	decried
foxtrot	foxtrotted	foxtrotted
humbug	humbugged	humbugged
rebut	rebutted	rebutted
rough-hew	rough-hewed	rough-hewn
fidget	fidgeted	fidgeted
proofread	proofread	proofread
scurry	scurried	scurried
sidestep	sidestepped	sidestepped
acquit	acquitted	acquitted
dogfight	dogfought	dogfought
leapfrog	leapfrogged	leapfrogged
retry	retried	retried
skydive	skydived	skydived
shellac	shellacked	shellacked
unwrap	unwrapped	unwrapped
bandy	bandied	bandied
falsify	falsified	falsified
troubleshoot	troubleshooted	troubleshooted
underwrite	underwrote	underwritten
unzip	unzipped	unzipped
abut	abutted	abutted
jut	jutted	jutted
joyride	joyrode	joyridden
overshoot	overshot	overshot
smit	smitted	smitted
beautify	beautified	beautified
outshine	outshone	outshone
kneecap	kneecapped	kneecapped
annul	annulled	annulled
eavesdrop	eavesdropped	eavesdropped
outwit	outwitted	outwitted
strum	strummed	strummed
bequeath	bequeathed	bequeathed
brevet	brevetted	brevetted
pommel	pommeled	pommeled
scud	scudded	scudded
sublet	sublet	sublet
flit	flitted	flitted
saute	sauteed	sauteed
shew	shewed	shewed
belie	belay	belain
trowel	troweled	troweled
unlearn	unlearned	unlearned
regrow	regrew	regrown
rive	rave	rave
vilify	vilified	vilified
belay	belaid	belaid
bobsled	bobsledded	bobsledded
gild	gilded	gilded
oversupply	oversupplied	oversupplied
overwrite	overwrote	overwritten
rend	rent	rent
sandbag	sandbagged	sandbagged
tarry	tarried	tarried
abet	abetted	abetted
tog	togged	togged
dilly-dally	dilly-dallied	dilly-dallied
beget	begot	begotten
codify	codified	codified
shrivel	shriveled	shriveled
instil	instilled	instilled
overstep	overstepped	overstepped
slink	slunk	slunk
fistfight	fistfought	fistfought
nosedive	nosedived	nosedived
sanctify	sanctified	sanctified
typecast	typecast	typecast
aby	abought	abought
electrify	electrified	electrified
impel	impelled	impelled
overpay	overpaid	overpaid
resubmit	resubmitted	resubmitted
scram	scrammed	scrammed
slat	slatted	slatted
dignify	dignified	dignified
imperil	imperiled	imperiled
junket	junketted	junketted
relearn	relearned	relearned
yodel	yodeled	yodeled
antic	anticked	anticked
entrap	entrapped	entrapped
